Restaurant_id,Restaurant_Link,Name,Ratings,Cuisine
6890728,https://www.grubhub.com/restaurant/bosscat-breakfast-1306-atlantic-ave-brooklyn/6890728,Bosscat breakfast,4 ratings,Breakfast
5346416,https://www.grubhub.com/restaurant/pb--jellys-2803-avenue-u-brooklyn/5346416,PB & Jellys,,Sandwich
3074696,https://www.grubhub.com/restaurant/earlybird-5628-mosholu-ave-bronx/3074696,earlybird,31 ratings,Coffee and Tea
2540592,https://www.grubhub.com/restaurant/super-smoothie-826-9th-ave-new-york/2540592,Super Smoothie,59 ratings,Bagels
5630080,https://www.grubhub.com/restaurant/oakberry-acai-bowls--smoothies--upper-west-166-w-72nd-st-new-york/5630080,Oakberry Acai Bowls & Smoothies | Upper West,72 ratings,Bowls
2964685,https://www.grubhub.com/restaurant/village-quesadilla-330-w-broadway-new-york/2964685,Village Quesadilla,9 ratings,Mexican
3052834,https://www.grubhub.com/restaurant/the-b-deli-1738-e-gun-hill-rd-bronx/3052834,The B Deli,3 ratings,Breakfast
3221906,https://www.grubhub.com/restaurant/sunny--fines-breakfast-burritos-3139-fulton-st-brooklyn/3221906,Sunny & Fine's Breakfast Burritos,10 ratings,Breakfast
3132553,https://www.grubhub.com/restaurant/smash-shack-26-1st-ave-new-york/3132553,Smash Shack,6 ratings,Hamburger
4836472,https://www.grubhub.com/restaurant/la-casa-de-los-antojitos-8108-37th-ave-1fl-jackson-heights/4836472,LA CASA DE LOS ANTOJITOS,7 ratings,Mexican
2298614,https://www.grubhub.com/restaurant/burger-goddess-34-02-30th-st-astoria/2298614,Burger Goddess,26 ratings,Hamburger
3300972,https://www.grubhub.com/restaurant/marthas-breakfast-sandwiches-1117-broadway-brooklyn/3300972,Martha's Breakfast Sandwiches,5 ratings,Breakfast
2736871,https://www.grubhub.com/restaurant/concourse-gourmet-deli-845-concourse-village-w-bronx/2736871,Concourse Gourmet Deli,40 ratings,Hamburger
6137984,https://www.grubhub.com/restaurant/sky-club-5701-arlington-avenue-the-bronx/6137984,Sky Club,20 ratings,Breakfast
2041955,https://www.grubhub.com/restaurant/urban-nutrition-spot-197-brook-ave-bronx/2041955,Urban Nutrition Spot,43 ratings,Shakes
6443064,https://www.grubhub.com/restaurant/heaven-on-7th-marketplace-850-7th-ave-new-york/6443064,Heaven on 7th Marketplace,11 ratings,Bakery
3309772,https://www.grubhub.com/restaurant/mufasas-pancakes--french-toast-93-avenue-a-new-york/3309772,Mufasa's Pancakes & French Toast,,Breakfast
5529184,https://www.grubhub.com/restaurant/franks-deli-grill-272-sherman-ave-new-york/5529184,Franks Deli Grill,4 ratings,Breakfast
3196197,https://www.grubhub.com/restaurant/zahirul-convenience-445-7th-ave-brooklyn/3196197,Zahirul convenience,,American
3310156,https://www.grubhub.com/restaurant/marys-salad-co-3360-broadway-new-york/3310156,Mary's Salad Co,7 ratings,sandwich
2732350,https://www.grubhub.com/restaurant/go-vegan-or-go-home-257-gold-st-brooklyn/2732350,Go Vegan or Go Home,40 ratings,Salads
2607924,https://www.grubhub.com/restaurant/bark--purr-1-pierpointe-st-yonkers/2607924,Bark & Purr,,Fast Food
3221748,https://www.grubhub.com/restaurant/ranch-burger-co-4237-27th-st-queens/3221748,Ranch Burger Co.,5 ratings,Hamburger
3188948,https://www.grubhub.com/restaurant/upstate-bagel-co-330-w-broadway-new-york/3188948,Upstate Bagel Co.,4 ratings,Bagel
1750531,https://www.grubhub.com/restaurant/sobol---bay-terrace-shopping-center-212-67a-26th-ave-bayside/1750531,SoBol - Bay Terrace Shopping Center,78 ratings,Bowls
2732350,https://www.grubhub.com/restaurant/go-vegan-or-go-home-257-gold-st-brooklyn/2732350,Go Vegan or Go Home,40 ratings,Salads
3188948,https://www.grubhub.com/restaurant/upstate-bagel-co-330-w-broadway-new-york/3188948,Upstate Bagel Co.,4 ratings,Bagel
6789520,https://www.grubhub.com/restaurant/beach-dunes-eats-and-arts-45-19-rockaway-beach-blvd-queens/6789520,Beach Dunes Eats and Arts,,Breakfast
3310092,https://www.grubhub.com/restaurant/generals-french-toast-1117-broadway-brooklyn/3310092,General's French Toast,10 ratings,Breakfast
6537176,https://www.grubhub.com/restaurant/hot-bagels-and-bialys-1909-avenue-u-brooklyn/6537176,Hot Bagels and Bialys,,Bagel
3221825,https://www.grubhub.com/restaurant/thicc-milkshakes-265-bedford-ave-brooklyn/3221825,Thicc Milkshakes,34 ratings,Dessert
